SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=H
AtomicNumber=1
MassNumber=1
E [MeV/u]	dEdx [MeV/cm]
125.632		6.12357
127.381		6.06361
129.155		6.00458
130.954		5.94647
132.777		5.88925
134.626		5.8329
136.501		5.77738
138.402		5.72264
140.329		5.66865
142.283		5.61535
144.264		5.56269
146.273		5.51059
148.31		5.45897
150.376		5.40796
152.47		5.35819
154.593		5.30878
156.746		5.25975
158.928		5.21112
161.141		5.16289
163.385		5.11508
165.661		5.06771
167.967		5.02078
170.307		4.9743
172.678		4.92829
175.083		4.88276
177.521		4.8377
179.993		4.79314
182.499		4.74907
185.041		4.70551
187.617		4.66245
190.23		4.61989
192.879		4.57785
195.565		4.5363
198.288		4.49526
201.05		4.45459
203.849		4.41422
206.688		4.37435
209.566		4.335
212.485		4.29617
215.443		4.25788
218.444		4.22014
221.486		4.18296
224.57		4.14634
227.697		4.11028
230.868		4.07481
234.083		4.03991
237.342		4.00559
240.648		3.97186
243.999		3.9387
247.396		3.90612
250.842		3.8741
254.335		3.84266
257.876		3.81176
261.467		3.7814
265.108		3.75157
268.8		3.72224
272.543		3.6934
276.339		3.66502
280.187		3.63706
284.088		3.60951
288.044		3.58231
292.056		3.55543
296.123		3.52882
300.246		3.50247
304.427		3.47673
308.666		3.45118
312.965		3.42582
317.323		3.40067
321.742		3.37573
326.222		3.35102
330.765		3.32653
335.371		3.30229
340.041		3.2783
344.776		3.25456
349.578		3.2311
354.446		3.20791
359.381		3.185
364.386		3.16238
369.46		3.14007
374.605		3.11805
379.822		3.09635
385.111		3.07497
390.474		3.05392
395.911		3.03319
401.424		3.01277
407.014		2.99264
412.682		2.97285
418.429		2.9534
424.256		2.93428
430.164		2.91549
436.154		2.89704
442.227		2.87892
448.386		2.86112
454.63		2.84363
460.96		2.82645
467.38		2.80957
473.888		2.79297
480.487		2.77665
487.178		2.76057
493.962		2.74474
500.841		2.72911
507.815		2.71369
514.887		2.69846
522.057		2.68343
529.327		2.66861
536.698		2.654
544.171		2.6396
551.749		2.62542
559.433		2.61145
567.223		2.59769
575.122		2.58415
583.131		2.57082
591.251		2.5577
599.484		2.5448
607.832		2.53207
616.297		2.51954
624.879		2.50724
633.58		2.49514
642.403		2.48326
651.349		2.4716
660.419		2.46016
669.616		2.44894
678.941		2.43794
688.395		2.42715
697.981		2.41659
707.701		2.40624
717.556		2.3961
727.548		2.38616
737.68		2.37643
747.952		2.36689
758.368		2.35754
768.928		2.34837
779.636		2.33937
790.493		2.33053
801.501		2.32184
812.662		2.31339
823.979		2.30507
835.453		2.2969
847.087		2.28886
858.883		2.28096
870.843		2.2732
882.97		2.26557
895.266		2.25809
907.733		2.25075
920.373		2.24354
933.19		2.23647
946.185		2.22953
959.361		2.22271
972.72		2.21603
986.266		2.20946
1000		2.203
