SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=N
AtomicNumber=7
MassNumber=14
E [MeV/u]	dEdx [MeV/cm]
35.2003		798.531
35.6905		789.67
36.1875		780.898
36.6914		772.219
37.2024		763.634
37.7204		755.145
38.2457		746.753
38.7783		738.461
39.3183		730.268
39.8658		722.169
40.421		714.154
40.9838		706.241
41.5546		698.431
42.1332		690.724
42.7199		683.12
43.3148		675.619
43.918		668.219
44.5296		660.919
45.1497		653.718
45.7784		646.613
46.4159		639.6
47.0622		632.677
47.7176		625.84
48.3821		619.083
49.0558		612.402
49.739		605.789
50.4316		599.239
51.1339		592.753
51.8459		586.333
52.5679		579.978
53.2999		573.691
54.0422		567.472
54.7947		561.32
55.5578		555.237
56.3314		549.222
57.1159		543.275
57.9112		537.396
58.7177		531.583
59.5353		525.835
60.3644		520.14
61.205		514.509
62.0573		508.943
62.9215		503.445
63.7977		498.014
64.6861		492.652
65.5869		487.358
66.5002		482.133
67.4262		476.977
68.3652		471.89
69.3172		466.872
70.2824		461.921
71.2612		457.036
72.2535		452.218
73.2597		447.462
74.2798		442.769
75.3142		438.134
76.363		433.555
77.4264		429.029
78.5046		424.552
79.5978		420.126
80.7062		415.775
81.8301		411.467
82.9696		407.201
84.125		402.979
85.2964		398.8
86.4842		394.666
87.6886		390.577
88.9097		386.532
90.1478		382.532
91.4031		378.577
92.6759		374.666
93.9665		370.8
95.275		366.976
96.6017		363.196
97.947		359.456
99.3109		355.756
100.694		352.073
102.096		348.43
103.518		344.827
104.959		341.266
106.421		337.747
107.903		334.271
109.405		330.841
110.929		327.455
112.474		324.116
114.04		320.822
115.628		317.576
117.238		314.378
118.871		311.227
120.526		308.124
122.204		305.068
123.906		302.06
125.632		299.099
127.381		296.184
129.155		293.315
130.954		290.491
132.777		287.71
134.626		284.97
136.501		282.271
138.402		279.608
140.329		276.982
142.283		274.387
144.264		271.822
146.273		269.282
148.31		266.764
150.376		264.302
152.47		261.872
154.593		259.461
156.746		257.068
158.928		254.694
161.141		252.341
163.385		250.008
165.661		247.697
167.967		245.407
170.307		243.139
172.678		240.895
175.083		238.673
177.521		236.475
179.993		234.302
182.499		232.152
185.041		230.028
187.617		227.928
190.23		225.852
192.879		223.802
195.565		221.776
198.288		219.775
201.05		217.783
203.849		215.815
206.688		213.872
209.566		211.954
212.485		210.063
215.443		208.199
218.444		206.361
221.486		204.551
224.57		202.769
227.697		201.016
230.868		199.29
234.083		197.593
237.342		195.924
240.648		194.284
243.999		192.672
247.396		191.088
250.842		189.532
254.335		188.003
257.876		186.501
261.467		185.025
265.108		183.574
268.8		182.148
272.543		180.744
276.339		179.362
280.187		178
284.088		176.656
288.044		175.33
292.056		174.017
296.123		172.717
300.246		171.44
304.427		170.181
308.666		168.932
312.965		167.692
317.323		166.463
321.742		165.244
326.222		164.037
330.765		162.841
335.371		161.658
340.041		160.487
344.776		159.33
349.578		158.186
354.446		157.055
359.381		155.939
364.386		154.837
369.46		153.75
374.605		152.679
379.822		151.623
385.111		150.582
390.474		149.558
395.911		148.55
401.424		147.555
407.014		146.577
412.682		145.615
418.429		144.669
424.256		143.739
430.164		142.826
436.154		141.929
442.227		141.048
448.386		140.183
454.63		139.332
460.96		138.497
467.38		137.675
473.888		136.867
480.487		136.072
487.178		135.289
493.962		134.517
500.841		133.755
507.815		133.003
514.887		132.26
522.057		131.528
529.327		130.805
536.698		130.094
544.171		129.392
551.749		128.701
559.433		128.021
567.223		127.351
575.122		126.692
583.131		126.043
591.251		125.405
599.484		124.776
607.832		124.157
616.297		123.548
624.879		122.95
633.58		122.362
642.403		121.784
651.349		121.218
660.419		120.662
669.616		120.117
678.941		119.583
688.395		119.059
697.981		118.546
707.701		118.043
717.556		117.551
727.548		117.068
737.68		116.595
747.952		116.132
758.368		115.677
768.928		115.231
779.636		114.793
790.493		114.363
801.501		113.942
812.662		113.531
823.979		113.126
835.453		112.727
847.087		112.336
858.883		111.951
870.843		111.573
882.97		111.203
895.266		110.839
907.733		110.481
920.373		110.131
933.19		109.787
946.185		109.449
959.361		109.117
972.72		108.792
986.266		108.472
1000		108.156
