SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=B
AtomicNumber=5
MassNumber=10
E [MeV/u]	dEdx [MeV/cm]
201.05		111.093
203.849		110.088
206.688		109.096
209.566		108.116
212.485		107.15
215.443		106.198
218.444		105.26
221.486		104.335
224.57		103.425
227.697		102.529
230.868		101.647
234.083		100.78
237.342		99.9277
240.648		99.0898
243.999		98.2664
247.396		97.4573
250.842		96.6624
254.335		95.8815
257.876		95.1143
261.467		94.3604
265.108		93.6195
268.8		92.8909
272.543		92.1742
276.339		91.4686
280.187		90.7734
284.088		90.0878
288.044		89.4107
292.056		88.7411
296.123		88.0777
300.246		87.4256
304.427		86.7833
308.666		86.1459
312.965		85.5135
317.323		84.8864
321.742		84.2648
326.222		83.6489
330.765		83.0389
335.371		82.4352
340.041		81.8379
344.776		81.2471
349.578		80.6633
354.446		80.0864
359.381		79.5168
364.386		78.9545
369.46		78.3999
374.605		77.853
379.822		77.3139
385.111		76.7829
390.474		76.2601
395.911		75.7455
401.424		75.2381
407.014		74.7385
412.682		74.2474
418.429		73.7647
424.256		73.2904
430.164		72.8244
436.154		72.3666
442.227		71.917
448.386		71.4752
454.63		71.0413
460.96		70.6149
467.38		70.1958
473.888		69.7836
480.487		69.3779
487.178		68.9784
493.962		68.5846
500.841		68.1958
507.815		67.812
514.887		67.4332
522.057		67.0595
529.327		66.691
536.698		66.3278
544.171		65.9699
551.749		65.6173
559.433		65.2702
567.223		64.9284
575.122		64.592
583.131		64.261
591.251		63.9352
599.484		63.6143
607.832		63.2982
616.297		62.9874
624.879		62.6819
633.58		62.3817
642.403		62.0871
651.349		61.7979
660.419		61.5142
669.616		61.2359
678.941		60.9632
688.395		60.6959
697.981		60.4339
707.701		60.1773
717.556		59.9259
727.548		59.6797
737.68		59.4383
747.952		59.2018
758.368		58.9699
768.928		58.7423
779.636		58.5188
790.493		58.2992
801.501		58.0846
812.662		57.8746
823.979		57.6679
835.453		57.4647
847.087		57.265
858.883		57.0688
870.843		56.8761
882.97		56.6869
895.266		56.5012
907.733		56.3189
920.373		56.14
933.19		55.9644
946.185		55.7921
959.361		55.6229
972.72		55.4568
986.266		55.2937
1000		55.1326
