SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=C
AtomicNumber=6
MassNumber=12
E [MeV/u]	dEdx [MeV/cm]
56.3314		403.471
57.1159		399.099
57.9112		394.776
58.7177		390.502
59.5353		386.277
60.3644		382.09
61.205		377.95
62.0573		373.86
62.9215		369.818
63.7977		365.827
64.6861		361.886
65.5869		357.995
66.5002		354.155
67.4262		350.367
68.3652		346.629
69.3172		342.941
70.2824		339.303
71.2612		335.714
72.2535		332.173
73.2597		328.679
74.2798		325.231
75.3142		321.825
76.363		318.461
77.4264		315.135
78.5046		311.845
79.5978		308.593
80.7062		305.397
81.8301		302.231
82.9696		299.096
84.125		295.994
85.2964		292.923
86.4842		289.885
87.6886		286.88
88.9097		283.908
90.1478		280.969
91.4031		278.063
92.6759		275.19
93.9665		272.348
95.275		269.539
96.6017		266.761
97.947		264.014
99.3109		261.295
100.694		258.589
102.096		255.912
103.518		253.265
104.959		250.648
106.421		248.063
107.903		245.51
109.405		242.99
110.929		240.503
112.474		238.049
114.04		235.63
115.628		233.246
117.238		230.896
118.871		228.581
120.526		226.302
122.204		224.057
123.906		221.847
125.632		219.672
127.381		217.531
129.155		215.424
130.954		213.349
132.777		211.306
134.626		209.293
136.501		207.31
138.402		205.354
140.329		203.424
142.283		201.518
144.264		199.633
146.273		197.767
148.31		195.917
150.376		194.109
152.47		192.324
154.593		190.552
156.746		188.794
158.928		187.05
161.141		185.321
163.385		183.607
165.661		181.909
167.967		180.226
170.307		178.56
172.678		176.911
175.083		175.279
177.521		173.665
179.993		172.068
182.499		170.489
185.041		168.928
187.617		167.385
190.23		165.86
192.879		164.354
195.565		162.866
198.288		161.395
201.05		159.932
203.849		158.486
206.688		157.058
209.566		155.649
212.485		154.26
215.443		152.89
218.444		151.54
221.486		150.21
224.57		148.901
227.697		147.612
230.868		146.344
234.083		145.098
237.342		143.872
240.648		142.667
243.999		141.482
247.396		140.319
250.842		139.175
254.335		138.052
257.876		136.949
261.467		135.865
265.108		134.799
268.8		133.751
272.543		132.72
276.339		131.705
280.187		130.704
284.088		129.718
288.044		128.743
292.056		127.779
296.123		126.824
300.246		125.887
304.427		124.962
308.666		124.044
312.965		123.134
317.323		122.231
321.742		121.336
326.222		120.45
330.765		119.572
335.371		118.703
340.041		117.843
344.776		116.993
349.578		116.152
