SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=He
AtomicNumber=2
MassNumber=4
E [MeV/u]	dEdx [MeV/cm]
390.474		12.1743
395.911		12.092
401.424		12.0109
407.014		11.9311
412.682		11.8526
418.429		11.7754
424.256		11.6996
430.164		11.6251
436.154		11.552
442.227		11.4801
448.386		11.4096
454.63		11.3402
460.96		11.2721
467.38		11.2051
473.888		11.1393
480.487		11.0745
487.178		11.0107
493.962		10.9478
500.841		10.8857
507.815		10.8244
514.887		10.7639
522.057		10.7042
529.327		10.6453
536.698		10.5873
544.171		10.5301
551.749		10.4738
559.433		10.4183
567.223		10.3637
575.122		10.31
583.131		10.2571
591.251		10.205
599.484		10.1538
607.832		10.1033
616.297		10.0536
624.879		10.0048
633.58		9.95683
642.403		9.90975
651.349		9.86355
660.419		9.81822
669.616		9.77378
678.941		9.7302
688.395		9.6875
697.981		9.64566
707.701		9.60468
717.556		9.56453
727.548		9.52519
737.68		9.48665
747.952		9.44888
758.368		9.41184
768.928		9.3755
779.636		9.33982
790.493		9.30475
801.501		9.2705
812.662		9.23696
823.979		9.20397
835.453		9.17153
847.087		9.13965
858.883		9.10832
870.843		9.07756
882.97		9.04735
895.266		9.0177
907.733		8.9886
920.373		8.96004
933.19		8.93201
946.185		8.9045
959.361		8.8775
972.72		8.85098
986.266		8.82493
1000		8.79922
